,ACC,Algorithm,F1score,F2score,FPR,MCC,model_index,parameters,FNR,FNR_Leak,FNR_Clog,balanced_ACC
81,0.7812221587664192,RF,0.7845997693477211,0.7277584718429229,0.1013953488372093,0.5912824954038702,82,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': False, 'max_depth': 5}",0.305552308591467,0.21885265645946764,0.3488339524201682,0.7965261712856617
124,0.7925909004378451,RF,0.8084107786706938,0.7807980877049883,0.16866807610993662,0.5909638685815135,125,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 10}",0.23609585037989486,0.17865795178333876,0.26360855455181903,0.7976180367550841
140,0.796893203883495,RF,0.8185075089310169,0.8062097820796282,0.20553911205073994,0.5909357493333194,141,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 20}",0.2013793103448276,0.14386989429559086,0.2288337574809322,0.7965407888022165
62,0.7957091185988958,RF,0.8155728557090335,0.7983659643912023,0.19363636363636366,0.5909251380202472,63,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 20}",0.21227352425482174,0.1615121666431264,0.23662380906607347,0.797045056054407
110,0.7902341519131925,RF,0.8032407860411673,0.7686077942159154,0.15207188160676532,0.5908313126265632,111,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 8}",0.2524371712448861,0.1903777816610634,0.28328561044312933,0.7977454735741745
1,0.7812221587664192,RF,0.7851518367504908,0.7293287653258496,0.10418604651162791,0.5901548252325335,2,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': False, 'max_depth': 5}",0.30347165400350673,0.21885265645946764,0.345722236742465,0.7961711497424326
134,0.7914068151532457,RF,0.8064233438820216,0.7762584183876993,0.16310782241014798,0.5899741067964758,135,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 10}",0.2421975452951491,0.17733976996515696,0.2741089448723688,0.7973473161473514
112,0.78866171711403,RF,0.8007513341749324,0.76381460592207,0.1474418604651163,0.5894556921819669,113,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 8}",0.2585388661601403,0.19691818570146744,0.28936511486910904,0.7970096366873718
85,0.7796535313154389,RF,0.7823909016118752,0.7243283369194309,0.09955602536997887,0.5893793310933285,86,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 5}",0.3096201052016365,0.21885265645946764,0.35475994738583483,0.7954119347141924
5,0.780441652389111,RF,0.7840456744709536,0.7276229338226294,0.1031923890063425,0.5892633189135341,6,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 5}",0.3054938632378726,0.22331086079383294,0.3468039034297909,0.7956568738778924
26,0.7882847896440129,RF,0.8003787304154963,0.7624079040039465,0.1456448202959831,0.5891278093355607,27,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 8}",0.2605727644652251,0.19219596347924522,0.2942697443223022,0.7968912076193959
50,0.7922063582714639,RF,0.8087115509581718,0.7826769171164863,0.1731923890063425,0.5890123124213302,51,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 10}",0.23333722969023968,0.17011228458503996,0.26398008643670673,0.796735190651709
142,0.7945402627070246,RF,0.8144339393599125,0.7971087068258632,0.19454545454545458,0.5885657358076943,143,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 20}",0.21362945645821158,0.1578498195990456,0.24070745378099506,0.7959125444981671
122,0.792579478393299,RF,0.8100930510064996,0.7861643678051365,0.17883720930232555,0.5882643087063876,123,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 10}",0.22860315604909417,0.1745619921873792,0.2546905698007149,0.7962798173242901
138,0.7878812107367219,RF,0.799723197050067,0.7621189150503779,0.14659619450317124,0.5882623325125087,139,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 10}",0.26061952074810063,0.19009070032135045,0.29540791071801054,0.7963921423743642
44,0.7910298876832286,RF,0.8067515707071685,0.7784665510816725,0.16866807610993662,0.5881968853192968,45,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 10}",0.23883109292811222,0.1788684780991282,0.26775959917654785,0.7962504154809755
64,0.792602322482391,RF,0.8102310869833115,0.7870482298836262,0.18063424947145876,0.5881292193139639,65,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 20}",0.22723553477498537,0.170005511860001,0.25460610974351444,0.7960651078767778
79,0.7921835141823719,RF,0.8091067544465002,0.7841243723773194,0.17598308668076112,0.5881112719738337,80,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 20}",0.23130333138515488,0.16244658602491419,0.2650541890241653,0.7963567909670419
28,0.7874890538739768,RF,0.7990898143993017,0.7602228841019089,0.14380549682875265,0.5880631514068445,29,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 8}",0.26330800701344254,0.19401414529742703,0.2977848825593787,0.7964432480789025
58,0.7878850180849039,RF,0.79990676240388,0.7626200226477339,0.14750528541226215,0.5880169208211632,59,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 10}",0.25994155464640567,0.19231292254357268,0.29312689924474655,0.796276579970666
128,0.7894422234913382,RF,0.8033189942293754,0.7703800848160323,0.15756871035940803,0.5878113502624547,129,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 10}",0.2497253068381064,0.19009070032135045,0.2794601999535102,0.7963529914012429
54,0.7902417666095565,RF,0.805283256122696,0.7749671327215468,0.1640169133192389,0.5878047371300867,55,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 10}",0.24356516656925783,0.18198471566273422,0.2742351056427663,0.7962089600557518
106,0.7874966685703407,RF,0.7993672061068906,0.7612099257982707,0.1455602536997886,0.5874286949408722,107,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 8}",0.26195207481005267,0.19219596347924522,0.29657730830081475,0.7962438357450794
66,0.7894612602322484,RF,0.8041891690318792,0.7732195821022088,0.16317124735729385,0.5870368318548258,67,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 20}",0.2456107539450614,0.179762493440512,0.2777259736658682,0.7956089993488223
104,0.788676946506758,RF,0.8021352545624616,0.7682225004915213,0.1557293868921776,0.5870249657696507,105,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 8}",0.25243717124488607,0.18798543716345573,0.2841418606551428,0.7959167209314681
76,0.7902379592613742,RF,0.8056340308362574,0.7760007145781977,0.16585623678646932,0.5870125862920205,77,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 20}",0.24219754529514909,0.17659209194658107,0.2739046292036569,0.7959731089591908
146,0.7902341519131926,RF,0.8060089176066019,0.7777579613605167,0.1695983086680761,0.5867632751843853,147,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 20}",0.23948568088836938,0.17936775659840673,0.26877186981672546,0.7954580052217772
70,0.7937521416333522,RF,0.8141618644471884,0.7978580744879418,0.19811839323467229,0.5865074684274871,71,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 20}",0.21225014611338403,0.15622386254955914,0.23884809885470876,0.794815730325972
102,0.788673139158576,RF,0.802756843797294,0.7705609922411564,0.16031712473572937,0.5862720197034745,103,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 8}",0.24901227352425487,0.18759070032135047,0.2787177661567168,0.7953353008700077
