,ACC,Algorithm,F1score,F2score,MCC,model_index,parameters,FNR,FNR_Leak,FNR_Clog,MCC_multiclass,FPR,FPR_Leak,FPR_Clog,balanced_ACC
134,0.8048703932287075,RF,0.8185530179977439,0.785279339578953,0.6191619057504049,135,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 10}",0.23496562665256476,0.19621052631578947,0.2530897009966777,0.6943719780702792,0.14044444444444446,0.007795193312434692,0.08730769230769232,0.8122949644514955
110,0.8026132957150414,RF,0.813939953283228,0.7741587590061247,0.619159114479548,111,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 8}",0.24986779481755683,0.21231578947368424,0.26733111849390917,0.6918901509938123,0.12533333333333335,0.004582027168234065,0.08114423076923077,0.8123994359245549
76,0.8044965614530065,RF,0.8179798873078014,0.7842187785803454,0.6189295548860841,77,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 20}",0.23626652564780534,0.19399999999999998,0.25592469545957913,0.6946101000130811,0.13955555555555554,0.01147335423197492,0.08173076923076925,0.8120889593983195
150,0.8048633397989772,RF,0.8188315449428728,0.7862265761872702,0.6185145486923009,151,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 20}",0.23366472765732416,0.198,0.2502325581395349,0.6934459970727391,0.14222222222222222,0.003207941483803553,0.09479807692307693,0.8120565250602267
42,0.8048774466584376,RF,0.8190767503172343,0.7867039559330635,0.6184865375114313,43,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 10}",0.23300898995240607,0.19800000000000004,0.24923588039867106,0.6939713807748524,0.1431111111111111,0.005966562173458725,0.0916826923076923,0.8119399494682413
122,0.8048633397989772,RF,0.8191598330903751,0.7875278177862836,0.6181420238159485,123,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 10}",0.23172924378635643,0.19610526315789478,0.24832779623477297,0.6938834846097406,0.1448888888888889,0.005506792058516197,0.09354807692307691,0.8116909336623773
40,0.803727737612414,RF,0.8172581154655592,0.7831258765477432,0.6175714967152719,41,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 10}",0.2375885774722369,0.20442105263157895,0.25311184939091913,0.6924603667522018,0.13955555555555554,0.004587251828631139,0.09106730769230768,0.8114279334861036
120,0.8041121495327103,RF,0.8179662242314839,0.7846518491990905,0.6174997726495064,121,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 10}",0.23563194077207825,0.2063157894736842,0.24928017718715392,0.6925182905477563,0.1413333333333333,0.003667711598746082,0.09353846153846158,0.8115173629472942
32,0.8022465173690706,RF,0.8140606215607923,0.776252992855527,0.6171834114341609,33,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 8}",0.2466102591221576,0.21031578947368423,0.2634772978959025,0.6909415507780811,0.13066666666666665,0.005956112852664578,0.083,0.811361537105588
72,0.8041262563921707,RF,0.8185732607073797,0.7873185499067289,0.6166300064810926,73,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 20}",0.23167636171337913,0.20189473684210527,0.24547065337763013,0.6926347248478075,0.14666666666666667,0.005961337513061651,0.0941826923076923,0.810828485809977
