,ACC,Algorithm,F1score,F2score,MCC,model_index,parameters,FNR,FNR_Leak,FNR_Clog,MCC_multiclass,FPR,FPR_Leak,FPR_Clog,balanced_ACC
157,0.8342446043165467,RF,0.8492493498512407,0.8250897979328358,0.6717341723841875,158,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 20}",0.1899444444444444,0.15896774193548388,0.20869019607843142,0.7448153498788612,0.13234365867913503,0.025725450220863068,0.05584269662921347,0.8388559484382102
126,0.8328057553956835,RF,0.8463154144551441,0.8171368836244415,0.67172142637291,127,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 10}",0.2009074074074074,0.17483870967741935,0.21665882352941182,0.7429917433903677,0.12073641145528931,0.021318382602786273,0.05360572012257402,0.8391780905686517
44,0.8328057553956835,RF,0.8466156003553824,0.8181258722502704,0.6715714891602497,45,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 10}",0.19944444444444445,0.17221505376344087,0.21592156862745107,0.7431696053337258,0.12279368790181183,0.020217465171593615,0.05630745658835545,0.8388809338268719
64,0.8328057553956834,RF,0.8465513076685507,0.8178378181060357,0.6713962461391593,65,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 20}",0.1999320987654321,0.17083870967741938,0.21749019607843145,0.7428991736419601,0.12211572180011691,0.020214067278287465,0.05586312563840651,0.8389760897172255
130,0.8299280575539569,RF,0.8411432651243228,0.8042062277763619,0.6713471067586108,131,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 10}",0.21831481481481485,0.18946236559139787,0.23579607843137257,0.740070499734248,0.10369374634716541,0.01470268433571186,0.05043922369765066,0.8389957194190096
134,0.8313669064748201,RF,0.8438636656745457,0.8106219705230333,0.6711205277554377,135,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 10}",0.20986419753086416,0.17621505376344085,0.23022745098039216,0.7415869865317707,0.1118760958503799,0.020951410125722054,0.04818692543411645,0.8391298533093777
135,0.8333812949640289,RF,0.8482138397712384,0.8231510077280665,0.6703676191257899,136,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 10}",0.19245061728395058,0.16301075268817208,0.21030588235294115,0.7433653477982225,0.13095265926358857,0.023516819571865438,0.057650663942798774,0.8382983617262305
142,0.8310791366906475,RF,0.8437296257942912,0.8111611801582285,0.6702889181357616,143,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 20}",0.20889506172839506,0.17754838709677423,0.22784313725490202,0.7407998672064618,0.11392168322618353,0.017274889568467552,0.054050051072522975,0.8385916275227107
52,0.8302158273381295,RF,0.8422486757893941,0.8074738626753146,0.6701415704466818,53,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 10}",0.2138456790123457,0.17888172043010755,0.23501176470588236,0.740031182642174,0.10916423144360023,0.016540944614339113,0.051792645556690504,0.8384950447720269
115,0.8319424460431655,RF,0.8457102955652027,0.8165709240214057,0.6701073689141215,116,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 8}",0.2014074074074074,0.17892473118279573,0.21504313725490196,0.7419369789155615,0.12212741087083578,0.02352361535847775,0.05179775280898875,0.8382325908608783
76,0.8310791366906475,RF,0.8438252933910809,0.81183284671399,0.6700386429264263,77,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 20}",0.20787654320987653,0.17483870967741935,0.22784313725490202,0.7408211962915107,0.11528930450029222,0.019843696907917093,0.05179775280898876,0.8384170761449156
36,0.8299280575539568,RF,0.8417644703696232,0.806654979642411,0.6698873118866869,37,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 8}",0.21484567901234566,0.18150537634408603,0.2350274509803922,0.7398682542940646,0.10846288720046758,0.019847094801223243,0.047288049029622053,0.8383457168935933
74,0.8307913669064749,RF,0.8437714640536346,0.8124046553461111,0.6693149709268055,75,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 20}",0.2068765432098765,0.17350537634408603,0.22704313725490194,0.7406617328888178,0.1173115137346581,0.021314984709480123,0.05134831460674156,0.8379059715277327
32,0.8290647482014388,RF,0.8405286563920003,0.8042853272215996,0.6693100834895236,33,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 8}",0.21780864197530864,0.18288172043010756,0.23899607843137258,0.7390028572287766,0.10641729982466394,0.0191131498470948,0.04682839632277834,0.8378870291000134
57,0.833093525179856,RF,0.84832685249317,0.8247232197953798,0.669288099064012,58,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 10}",0.18994444444444444,0.16025806451612903,0.20787450980392158,0.743006616645601,0.13505552308591467,0.026092422697927286,0.0571961184882533,0.8375000162348204
136,0.8302158273381295,RF,0.8426529431539314,0.8091996627549283,0.6691496682941396,137,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 10}",0.21137037037037032,0.17883870967741938,0.23102745098039218,0.7398643919134575,0.1125540619520748,0.020584437648657833,0.04908580183861082,0.8380377838387773
66,0.8316546762589927,RF,0.845619229272734,0.8174557878275425,0.6690673371722569,67,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 20}",0.19992592592592595,0.17617204301075273,0.2142588235294118,0.7413331041538831,0.12480420806545882,0.023527013251783892,0.053605720122574044,0.8376349330043076
