,ACC,Algorithm,F1score,F2score,FPR,MCC,model_index,parameters,FNR,FNR_Leak,FNR_Clog,balanced_ACC
84,0.725054945054945,RF,0.762948177381614,0.7526361964186182,0.31066666666666665,0.4471789819694924,85,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 5}",0.25,0.0,0.25,0.7196666666666667
104,0.725054945054945,RF,0.762948177381614,0.7526361964186182,0.31066666666666665,0.4471789819694924,105,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 8}",0.25,0.0,0.25,0.7196666666666667
0,0.7252747252747254,RF,0.7660301999342248,0.7574970696557639,0.31866666666666665,0.4462934393845086,1,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 5}",0.2438888888888889,0.0,0.2438888888888889,0.7187222222222222
122,0.7283516483516483,RF,0.7721112358573659,0.7686706958911933,0.33333333333333337,0.44516487263673526,123,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 10}",0.23,0.0,0.23,0.7183333333333332
142,0.7283516483516483,RF,0.7721112358573659,0.7686706958911933,0.33333333333333337,0.44516487263673526,143,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 20}",0.23,0.0,0.23,0.7183333333333332
102,0.7283516483516483,RF,0.7721112358573659,0.7686706958911933,0.33333333333333337,0.44516487263673526,103,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 8}",0.23,0.0,0.23,0.7183333333333332
4,0.7221978021978022,RF,0.7600287218801153,0.7512168828466005,0.31733333333333336,0.44402132477213163,5,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 5}",0.25,0.0,0.25,0.7163333333333334
54,0.7221978021978022,RF,0.7611035242707069,0.7494018545838047,0.31200000000000006,0.4436370583343638,55,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 10}",0.2538888888888889,0.0,0.2538888888888889,0.7170555555555554
34,0.7221978021978022,RF,0.7611035242707069,0.7494018545838047,0.31200000000000006,0.4436370583343638,35,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 8}",0.2538888888888889,0.0,0.2538888888888889,0.7170555555555554
74,0.7221978021978022,RF,0.7611035242707069,0.7494018545838047,0.31200000000000006,0.4436370583343638,75,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 20}",0.2538888888888889,0.0,0.2538888888888889,0.7170555555555554
