,ACC,Algorithm,F1score,F2score,FPR,MCC,model_index,parameters,FNR,FNR_Leak,FNR_Clog,balanced_ACC
157,0.8336690647482016,RF,0.8502017290613686,0.8306565493971746,0.14533021624780829,0.667837731989899,158,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 20}",0.1815987654320987,0.0,0.1985163635737799,0.8365355091600466
32,0.8287769784172662,RF,0.8404561770244128,0.8052012822153839,0.10919929865575688,0.6677295959884765,33,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 8}",0.21637654320987657,0.0,0.23649918469415177,0.8372120790671832
135,0.8316546762589927,RF,0.8461691756745064,0.8198357709839389,0.12965517241379312,0.6675578363023367,136,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 10}",0.19653086419753085,0.0,0.21524173820406378,0.836906981694338
57,0.8307913669064749,RF,0.844519410238535,0.8151739265584784,0.12281706604324956,0.6675445662020963,58,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 10}",0.203,0.0,0.22087050065821331,0.8370914669783751
18,0.8181294964028777,RF,0.8215262989633015,0.7615117573986349,0.055908825248392746,0.6675282143795884,19,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 5}",0.27361728395061724,0.0,0.30425357824627886,0.8352369454004949
149,0.8328057553956835,RF,0.8488804674938603,0.8273633683471173,0.14126241963763883,0.6671938072418309,150,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 20}",0.18608024691358022,0.0,0.20213052795570297,0.8363286667243907
130,0.8316546762589928,RF,0.8463903835777754,0.820567067412504,0.13105786090005844,0.6670212610603319,131,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 10}",0.19553086419753082,0.0,0.20991371042075077,0.8367056374512053
42,0.832230215827338,RF,0.8476639112366005,0.8244530525563666,0.13722969023962595,0.6669290403009795,43,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 10}",0.19003086419753085,0.0,0.20598318306483646,0.8363697227814215
139,0.8299280575539569,RF,0.843146901425061,0.8124460238563559,0.12007013442431327,0.666893667338323,140,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 10}",0.20648765432098762,0.0,0.22403256240598932,0.8367211056273495
24,0.8290647482014388,RF,0.8414680748134999,0.808400904857702,0.11466978375219171,0.6667707241015661,25,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 8}",0.21191358024691356,0.0,0.23337656550430463,0.8367083180004475
116,0.8273381294964028,RF,0.838224062292889,0.80057589761587,0.10439509059029808,0.6667378838317581,117,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 8}",0.22234567901234567,0.0,0.24264753771057204,0.8366296151986782
52,0.8316546762589928,RF,0.846514298851951,0.8212465035451599,0.13240210403272942,0.6666729368998996,53,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 10}",0.19453086419753088,0.0,0.21307050193300445,0.8365335158848698
69,0.8328057553956834,RF,0.8491889973313309,0.8287502056146555,0.1440093512565751,0.6665420771699064,70,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 20}",0.18405555555555556,0.0,0.19889345297276328,0.8359675465939342
