,meanci_1,Diff_median_of_plot,CWSI_minus_CWSI_of_row,Type,Y_binary
284,5.24168742233617,0.1048657226562497,0.02130708379724677,Leak,
285,5.143886190554856,-1.355880126953132,-0.2263226135332892,Control,1.0
286,6.941527449304367,0.4581799316406219,0.00736526729957987,Control,1.0
287,3.893488441160137,1.288663330078123,0.3936869587530314,Leak,
288,6.600567726461215,-0.5474621582031247,-0.1112125936257048,Control,1.0
289,5.113099949468985,-0.2433630371093685,-0.2388783980260055,Leak,
290,5.88145129494945,-1.163891601562497,0.09476607820316124,Leak,
291,7.636364678186595,-2.026691894531254,-0.5766804286211589,Clog,0.0
292,6.521809865841057,-0.6200903320312534,-0.1901564814871155,Clog,0.0
293,5.046719260517904,-0.4786804199218722,-0.06501314765034394,Clog,0.0
294,7.279254026019068,-0.02964599609374829,-0.03421681646095809,Control,1.0
295,5.971120724361597,-1.039589843749994,-0.1728723448735789,Clog,0.0
296,4.465887986913778,-0.4393371582031307,0.1798232473146982,Control,1.0
297,6.93862877218854,-1.588837890625001,-0.5158918609875274,Clog,0.0
298,3.986785105958422,0.04118408203124346,0.2675474881919775,Leak,
299,6.933363086502794,0.484996337890621,0.1204484745037538,Leak,
300,6.62580775667179,-1.637985839843751,-0.4514589037079383,Clog,0.0
301,4.498842318427911,0.6891748046875037,-0.01972671901024464,Control,1.0
302,6.414800188004779,-0.2982128906250026,-0.06238949538691907,Clog,0.0
303,6.392661227712566,-1.9111865234375,-0.2393561302868586,Clog,0.0
304,4.947950369890556,0.286601562499996,0.03438273413342949,Leak,
305,5.501986107197009,0.847238769531252,-0.07487631725213595,Control,1.0
306,6.830433895238937,-2.342982177734378,-0.3248401899623095,Clog,0.0
307,5.865049612836319,0.5482666015625028,-0.03312391391043945,Clog,0.0
308,4.471254097234283,-0.2371850585937523,-0.2325754571213776,Clog,0.0
309,2.002774285313961,2.48111938476562,0.272578901553424,Leak,
310,6.350884267607949,-1.865327148437501,-0.5996439986104017,Clog,0.0
311,7.326796900269944,-2.911020507812509,-0.5008106403935556,Clog,0.0
312,5.511510327305935,-0.8062280273437494,-0.006026969543832528,Clog,0.0
313,6.351828414100247,-0.4486437988281295,-0.06446156059340258,Control,1.0
314,5.082400690481968,1.027631835937498,0.2982835851022282,Leak,
315,5.358377061597395,0.7446313476562452,0.1816848759090543,Leak,
316,4.970670379493832,1.271385498046875,0.3619855872530471,Clog,0.0
317,7.06587156244743,-1.159011230468749,-0.4339367373599454,Clog,0.0
318,3.059092008678284,1.284163818359367,0.03050762737085437,Control,1.0
319,6.032421480881748,0.2919775390625006,-0.2315055273716057,Control,1.0
320,5.504089667611055,-1.047818603515623,-0.1844876129272317,Clog,0.0
321,6.155533833344496,-1.200218505859368,-0.0004153716614188618,Control,1.0
322,7.412632123717547,-1.431125488281246,-0.3200020625812748,Clog,0.0
323,5.820033590899879,0.2814587402343776,0.1525208736890335,Leak,
324,3.942542954130918,0.3285144042968682,0.05856508023701044,Leak,
325,2.698058857356934,0.8632995605468778,0.1613600624059045,Leak,
326,7.637175050528462,-0.5238244628906301,-0.08667683001375193,Leak,
327,4.432815504245905,2.178393554687503,0.4329297985627414,Leak,
328,2.156368850007198,2.417137451171872,0.2678568945998397,Leak,
329,6.767448741237587,-0.9301831054687497,-0.2896013237534238,Control,1.0
330,5.965471993759262,0.516743164062504,-0.1425018260964793,Control,1.0
331,6.324855029412472,-2.259666748046868,-0.4157786581042349,Clog,0.0
332,6.400766359885932,0.7187670898437517,0.5964659018447755,Leak,
333,7.612494401922604,-0.4543701171875014,-0.2097982687177402,Clog,0.0
334,5.40083642923144,-1.20535522460937,-0.0826076350500432,Clog,0.0
335,3.488250195741596,0.7082751464843682,0.0339565357626545,Clog,0.0
336,4.95913153631178,-0.3179907226562477,0.03396754421802195,Leak,
337,6.368836622307121,-0.5432556152343793,-0.1335925464494765,Control,1.0
