,Type,Plot,Site_Name,mean,min,prctile5,max,prctile95,std,MTD,median,skewness,kurtosis,IQR,MAD,meanci_1,meanci_2,Diff_median_of_plot,Diff_mean_of_plot,Diff_std_of_plot,Diff_median_of_row,Diff_mean_of_row,Diff_std_of_row,prctile33,mean_first_ring,mean_second_ring,mean_third_ring,mean_core,median_first_ring,median_second_ring,median_third_ring,median_core,CWSI,CWSI_minus_CWSI_of_row
1549,Control,A,Sde_David,4.59962646,1.51008568,2.06003265,13.28054199,10.29211464,2.461185726,11.77045631,3.83002625,1.408830703,4.557671395,2.835006714,1.885917786,4.49863731,4.70061561,-1.050151825,-1.13455847,-0.153877163,-1.260169983,-1.333822217,-0.072937259,2.49374804,4.95236463,4.89703524,3.20818222,2.71492787,3.97004852,4.29475937,3.25002823,2.49002609,0.309535371,-0.206203879
1550,Control,A,Sde_David,4.25641491,1.59013672,2.49065495,13.43025894,8.8504034,1.994775087,11.84012222,3.62991257,2.253939225,8.619486836,1.590135574,1.352320169,4.17835499,4.33447484,-0.750038147,-0.691346923,0.312533476,-1.009841919,-0.928444449,0.324466988,2.81580543,4.57717181,3.45007599,3.69694871,3.77831359,3.71995468,3.36492844,3.73001785,3.90002174,0.381213815,-0.242176313
1565,Control,A,Sde_David,3.74692701,1.04010162,1.56999397,13.3707901,8.55556717,2.170887514,12.33068848,3.12012062,1.903634342,7.056275596,1.989776611,1.542289629,3.66426671,3.82958732,-0.340246201,-0.281859024,0.136421049,-0.600049973,-0.51895655,0.148354562,2.00914002,3.8103355,3.72052403,3.02497296,2.94474963,3.04995689,3.30494461,2.99001846,2.864925,0.176027365,-0.036989864
1579,Control,A,Sde_David,5.13698825,2.38007813,2.94003277,14.49133759,11.18756466,2.402141628,12.11125946,4.4702919,1.880821109,6.269111294,2.020028114,1.676643614,5.00448776,5.26948875,-0.49041748,-0.471920263,-0.094833064,-0.750221252,-0.709017789,-0.082899552,3.28166797,5.53671071,4.15597536,4.14272485,3.97333584,4.70056992,4.15013199,3.90990715,3.70007401,0.292810725,-0.153773224
1581,Control,A,Sde_David,4.70210145,1.81014366,2.69307632,14.46944351,9.76712799,2.196332151,12.65929985,4.03990097,1.958259685,7.011255996,1.994962692,1.563555435,4.63088393,4.77331898,-0.16002655,-0.137033463,0.110976413,-0.419830322,-0.374130989,0.122909925,3.013452,4.59155995,4.93121208,4.45988831,3.40157995,3.81991692,4.17981453,4.28023453,3.29497643,0.214742638,-0.075705136
1582,Control,A,Sde_David,4.8640901,2.59004135,2.97003784,14.39852448,10.42643795,2.311650687,11.80848312,4.04003448,2.016789078,6.725902635,1.767268181,1.626559034,4.70295212,5.02522807,-0.160160065,-0.299022105,-0.004342123,-0.419963837,-0.536119631,0.007591389,3.21576264,5.24214107,3.6415167,3.52622557,3.30272775,4.75975723,3.6497261,3.19995041,3.09996338,0.294713481,-0.155675979
1587,Control,A,Sde_David,4.84179874,2.53005142,2.92908325,14.41001816,8.68983383,2.048507301,11.87996674,4.12509651,1.600530832,5.846210692,2.579936981,1.583960832,4.69854996,4.98504751,-0.245222092,-0.276730748,0.258801262,-0.505025864,-0.513828274,0.270734775,3.12476254,5.32516885,3.79408033,3.47766326,3.48048734,4.98985023,3.3200943,3.37999268,3.43009491,0.258742289,-0.119704788
1589,Control,A,Sde_David,4.94356341,2.5900795,3.16004562,14.44859619,9.12905159,1.917277516,11.85851669,4.4350769,2.358582111,9.459195384,1.500684738,1.268298797,4.86433472,5.0227921,-0.555202484,-0.378495419,0.390031048,-0.815006256,-0.615592944,0.40196456,3.52953929,4.97995813,5.16035693,4.22494651,4.11770115,4.34029312,4.77497025,4.06000061,4.15991898,0.418745431,-0.27970793
1591,Control,A,Sde_David,5.07742779,2.82008667,3.13797531,14.47017975,10.61131668,2.289593143,11.65009308,4.25010986,2.024029725,6.773548445,1.739818573,1.620118364,4.9660574,5.18879817,-0.370235443,-0.512359795,0.01771542,-0.630039215,-0.749457321,0.029648933,3.46365436,5.39589416,4.60863571,3.81333322,3.79725388,4.3401329,4.14000244,3.67010422,3.78993912,0.392701951,-0.25366445
1593,Control,A,Sde_David,5.50349402,3.14002533,3.42999878,14.28155441,10.92661228,2.284131232,11.14152908,4.59001083,1.694610004,5.452564411,2.272388458,1.712528017,5.33362717,5.67336087,-0.710136414,-0.938426029,0.023177332,-0.969940186,-1.175523555,0.035110844,3.75689444,6.17421638,4.24293412,4.03137937,4.09335113,5.60501022,4.17985458,4.00000687,4.11501236,0.508616052,-0.369578551
1594,Control,A,Sde_David,5.20591293,3.00008698,3.44948463,14.41822739,9.63114586,1.939238318,11.41814041,4.78014297,2.206256328,8.406844465,1.610031128,1.29737834,5.11224563,5.29958024,-0.900268555,-0.640844941,0.368070245,-1.160072327,-0.877942467,0.380003758,3.72900596,5.57672021,4.68661839,4.34473896,3.8984541,4.95008774,4.56492157,3.84002991,3.57998581,0.497592088,-0.358554587
1595,Control,A,Sde_David,5.6109256,2.99006195,3.48998375,14.46914597,10.28973427,2.077328561,11.47908401,5.07004471,1.838320052,6.589995683,1.810108185,1.467599702,5.53298118,5.68887002,-1.190170288,-1.045857611,0.229980002,-1.44997406,-1.282955136,0.241913515,3.94534495,5.71144278,5.81442543,4.46307207,3.90019748,5.2099411,5.02994843,4.22981949,3.7398941,0.583108164,-0.444070663
1596,Control,A,Sde_David,3.65346506,0.6101944,1.53042908,13.46109314,9.03505211,2.212928844,12.85089874,3.03989334,2.115863745,7.731179938,1.690328598,1.488320287,3.59222837,3.71470175,-0.160018921,-0.088397068,0.09437972,-0.349697113,-0.283658973,0.084062191,1.99521867,4.31107572,3.83070984,2.74090057,2.49029472,3.56065292,3.11010666,2.80979843,2.38990326,0.148740134,-0.024832777
1617,Control,A,Sde_David,5.28851051,2.88013916,3.48407135,14.55867081,10.0614563,1.97958327,11.67853165,4.72000771,2.327421533,8.820852835,1.400123596,1.304156812,5.19372554,5.38329547,-0.740133286,-0.623442517,0.327725294,-0.929811478,-0.818704421,0.317407764,3.87742017,5.71541206,4.51343453,4.39169605,4.39776915,5.08503799,4.46008759,4.34044914,4.38006668,0.537995916,-0.414088559
1621,Control,A,Sde_David,4.76679358,1.87024574,2.73015242,14.56011276,9.43852482,2.042952154,12.68986702,4.30996399,2.059956641,8.039185502,1.879888535,1.402356878,4.69997088,4.83361628,-0.330089569,-0.10172559,0.264356409,-0.519767761,-0.296987494,0.25403888,3.12930622,5.02099973,5.01076169,4.15848499,4.76238341,4.43982964,4.53009872,4.00011139,4.81998138,0.230105386,-0.106198029
1623,Control,A,Sde_David,4.77902156,1.86023788,2.62312889,14.53992538,9.45895462,2.07601924,12.6796875,4.39011841,2.127047019,8.460448074,1.644714355,1.370391804,4.69687688,4.86116625,-0.410243988,-0.113953575,0.231289324,-0.59992218,-0.309215479,0.220971794,3.11742616,4.6473488,5.00950623,4.41427834,3.92261077,4.3950489,4.43986588,4.50000076,3.8501976,0.225216078,-0.101308722
1628,Control,A,Sde_David,5.20175451,2.19025154,3.11008816,14.39943237,10.85596676,2.319256114,12.20918083,4.42990036,1.921101516,6.415826873,1.789824486,1.63345831,5.11389136,5.28961766,-0.55002594,-0.636686518,-0.011947551,-0.739704132,-0.831948423,-0.02226508,3.4884051,5.17841039,5.69596588,4.08929013,3.52636106,4.47994156,4.75006409,3.9900753,3.5499527,0.402485606,-0.27857825
1629,Control,A,Sde_David,5.35494253,2.50009842,3.18003769,14.42965622,10.58627625,2.201460149,11.9295578,4.80998535,1.902011016,6.591596352,1.769786835,1.513600628,5.21928024,5.49060483,-0.930110931,-0.789874543,0.105848414,-1.119789124,-0.985136447,0.095530885,3.62594213,5.68273183,4.36563081,4.28450891,4.29674792,5.06990166,4.3599617,4.27001114,4.28014679,0.456852257,-0.3329449
1630,Control,A,Sde_David,4.88124203,2.5500824,3.07009449,14.46109314,10.55128784,2.322057393,11.91101074,3.93999023,2.007487752,6.429214459,1.512452126,1.663067891,4.73779313,5.02469094,-0.060115814,-0.316174044,-0.014748829,-0.249794006,-0.511435949,-0.025066358,3.34290225,5.18392487,3.78992307,3.44768669,3.03386751,4.404916,3.75001259,3.45000763,3.05003853,0.344970165,-0.221062809
