,median,meanci_1,Diff_median_of_plot,Diff_mean_of_row,Type,Y_binary
284,3.329981230000001,3.985751889999996,-0.250106812,-0.101364356,Clog,0.0
184,2.399977869999997,3.057388370000002,0.479896545,0.089428541,Clog,0.0
619,2.800195309999999,3.543983080000004,-0.020320892,-0.141195984,Control,1.0
361,2.250045009999997,3.007198239999997,0.129829407,-0.354863024,Clog,0.0
153,1.779732509999999,2.685048930000004,0.700141907,0.058368447,Clog,0.0
75,2.339817050000001,3.111116920000001,0.340057373,0.062650296,Leak,1.0
417,2.620124820000001,3.500483500000001,0.059749603,-0.270802045,Clog,0.0
277,2.98013306,3.686665380000001,0.430183411,0.288967311,Clog,0.0
68,2.739865880000004,3.308140899999998,0.040008545,0.422160322,Leak,1.0
594,3.220091249999996,3.475391770000002,-0.640216827,-0.389676283,Control,1.0
188,4.88961029,5.189986330000004,-1.70973587,-1.009989454,Clog,0.0
271,4.270658869999998,4.893576019999998,-0.960342407,-0.967059631,Clog,0.0
236,2.889738459999997,3.585679039999995,-0.309864044,-0.491564683,Clog,0.0
88,2.23993759,3.016773019999999,0.239936829,0.07959049,Leak,1.0
649,3.290054320000003,3.895489189999999,-0.610179901,-0.682031754,Control,1.0
117,3.114855959999996,3.431691359999999,-0.234981537,0.124472958,Leak,1.0
125,2.575430300000001,3.263139439999996,0.004444122,0.032655634,Leak,1.0
629,3.700128169999999,4.188035360000001,-0.920253754,-0.811093004,Control,1.0
289,1.729884340000002,2.61755492,0.649990082,0.005573321,Clog,0.0
238,2.440196610000001,3.244187840000002,0.339677811,0.118250334,Clog,0.0
0,2.540604019999996,3.231593619999998,0.039270401,-0.154288679,Leak,1.0
754,3.849839780000003,4.596909060000002,-0.569965363,-0.868770329,Control,1.0
350,2.579997250000002,3.464959760000003,0.530319214,0.19199244,Clog,0.0
667,3.09992561,3.716698780000002,-0.320051193,-0.222754522,Control,1.0
429,3.119590760000001,4.059120739999997,0.290725708,-0.347867899,Clog,0.0
278,2.490092469999997,3.088829280000002,0.620223999,0.663159939,Clog,0.0
598,2.955301669999997,3.277694279999999,-0.375427246,-0.194598888,Control,1.0
116,2.011524199999997,2.736885379999997,0.66835022,0.440887142,Leak,1.0
228,2.560364529999998,3.040573980000001,-0.080490112,0.144882102,Clog,0.0
542,3.11038971,3.886654759999999,-0.430515289,-0.931905155,Control,1.0
618,2.759919740000001,3.521199110000005,0.019954681,-0.08952761,Control,1.0
398,4.579890439999996,4.875818259999999,-0.700016022,-0.609471778,Clog,0.0
274,3.08006477,3.773949559999998,0.330251694,-0.016583939,Clog,0.0
318,3.309853360000002,3.845612769999999,-0.329978943,-0.532122751,Clog,0.0
527,3.919589999999999,4.611781739999998,-0.509273529,-0.632379625,Control,1.0
144,3.580155940000004,4.111326510000005,-0.300281525,-0.153085837,Leak,1.0
730,4.440023799999999,4.999099029999996,-0.860149384,-0.790662086,Control,1.0
753,4.110128779999997,4.836290519999999,-0.530254364,-0.659118344,Control,1.0
691,3.480020140000001,4.195254580000004,-0.700145721,-1.039924844,Control,1.0
731,4.169969940000001,4.911490629999996,-0.59009552,-0.693408829,Control,1.0
268,2.179788969999997,2.959889480000001,1.130527496,0.733473766,Clog,0.0
543,2.929956820000001,3.446840430000002,-0.350082397,-0.219819272,Control,1.0
307,2.760160060000004,3.444700840000003,0.019714355,0.512089487,Clog,0.0
310,2.790000919999997,3.369902779999997,-0.110126495,0.052469108,Clog,0.0
448,4.659872440000001,5.170712299999998,-0.579998016,-0.435582563,Control,1.0
46,2.309854510000001,2.97960132,0.370019913,0.257266,Leak,1.0
349,2.619850159999999,3.355429110000003,0.790466309,0.535538033,Clog,0.0
490,5.009909820000001,5.658051849999996,-1.1300354,-1.260406697,Control,1.0
261,3.719934080000002,4.118908760000004,-1.440059662,-1.332294403,Clog,0.0
195,4.299917600000001,4.774475989999999,-0.220043182,0.28914459,Clog,0.0
762,3.560051350000002,4.345225649999996,0.019823074,-0.111089109,Control,1.0
641,2.979989620000005,3.798318450000004,-0.200115204,-0.424587818,Control,1.0
