,min,prctile5,prctile95,std,MTD,median,skewness,IQR,meanci_1,meanci_2,Diff_median_of_plot,Diff_mean_of_row,prctile33,median_first_ring,median_second_ring,median_third_ring,median_core,CWSI_minus_CWSI_of_row,Type,Y_binary
59,0.5626538085937511,0.8231542968750034,3.610992187499996,0.8835903847840478,3.682636718749997,2.000908203125,0.3446724312397625,1.474885253906251,1.98286069764108,2.098085554773384,-0.1278710937500023,-0.03294423816471692,1.060625890010996,2.5224609375,1.596125488281253,1.035714111328126,0.8228613281250006,0.01432180601808891,Control,1.0
111,0.7651025390625037,0.8766796875000011,4.0979892578125,0.9619539603237054,3.553354492187502,2.203861083984378,0.3698132979422228,1.411892089843747,2.158652180467804,2.385801611967018,-0.230823974609379,0.09640152634484878,1.228487681513258,2.660079345703124,1.743815917968753,1.210556640625001,1.134964599609376,0.08972071495344727,Leak,1.0
368,2.067575683593752,2.846609375,10.99083007812499,2.467412588608775,11.87573974609375,4.963616943359376,1.14329173254678,3.092763671875005,5.527513676387436,5.832825916912107,-1.208813476562497,-0.5255623496446589,3.439566620976102,6.51380126953125,4.351251220703126,3.626262207031246,2.827221679687504,-0.2713679578679903,Clog,0.0
168,-2.091066894531249,-0.2962285156249962,3.423299804687503,1.196317029207911,6.37312744140625,1.209847412109376,0.09642454418638598,1.690510253906254,1.309093079485955,1.448009073911344,0.6631896972656222,0.493172646268043,0.1214106535974793,1.381759033203124,1.055872802734378,0.9543347167968719,1.122058105468753,0.2055013090464127,Leak,1.0
6,-0.918259277343747,0.205129882812507,9.794039062500005,2.758214508625035,14.43885498046875,3.357680664062499,1.044482357336521,3.105783691406252,3.830385521734172,4.109217800004927,-0.523885498046873,-0.8413271746670574,1.385411826427308,4.380461425781256,3.006699218750001,2.438464355468753,2.564199218750005,-0.176905959040469,Leak,1.0
283,1.5622021484375,2.330669555664066,11.30669067382812,2.796743932050025,12.510166015625,5.334118652343747,0.7364499739934871,3.954739990234373,5.674688755483565,5.915499168085653,0.5646386718750023,-0.1116316180822565,2.94878643932482,6.5553662109375,4.485529785156253,3.972006835937499,3.017309570312499,0.0632552468359498,Control,1.0
320,2.196940917968753,2.527290649414063,11.45133178710937,2.864107128676423,11.68574462890625,4.902622070312503,0.8727207057009956,4.175877685546872,5.504089667611055,5.791814584438242,-1.047818603515623,-0.9681136121921554,2.900923283540926,6.687731933593753,3.834089355468748,3.205996093750002,2.708878173828126,-0.1844876129272317,Clog,0.0
10,1.878354492187505,2.071760253906255,4.028251953125,0.568521840936073,2.469753417968747,3.003843994140624,0.124348532018733,0.7554541015624991,2.963292655153474,3.073680275010453,-1.030806884765624,-0.6498580425197034,2.394199164496534,3.292805175781254,2.777692871093755,2.559958496093756,2.37256591796875,-0.1575029490276799,Leak,1.0
202,-1.61156494140625,-1.032816894531251,7.463000976562498,2.605521360590581,12.62749267578125,0.724445800781254,1.459240768140879,2.969077148437499,1.404288626386474,1.641134287587903,2.233476562500002,1.740361600609127,-0.6972713706547751,1.824006347656251,-0.009204101562502842,-0.6809863281250017,-0.7426513671874986,0.3803133497822775,Leak,1.0
103,-0.3910717773437469,0.007375488281255116,7.188118652343746,2.206177711748795,11.02997314453125,2.225610351562501,1.127643055397608,2.88046508789062,2.511367714880208,2.717590984456109,0.4323120117187571,0.1061151075960396,0.5113497152673361,3.176259765625005,1.459897460937498,0.6005822753906216,0.3407226562500014,0.08214375205143032,Control,1.0
