ID,Label,RTK_Num,Plot,row,Site_Name,cluster_number,Tree_num,Longitude,Latitude,mean,min,prctile5,max,prctile95,std,Std_plot,MTD,median,skewness,kurtosis,IQR,MAD,Meanci_1,Meanci_2,centroidY,centroidX,Diff_median_of_plot,Diff_mean_of_plot,Diff_std_of_plot,Diff_median_of_row,Diff_mean_of_row,Diff_std_of_row,AirTemp,mean_prctile33,mean_First_ring,mean_second_ring,mean_three_ring,mean_core,median_First_ring,median_second_ring,median_three_ring,median_core,CWSI,CWSI_minus_CWSI_of_row
3649,,,A,65,Sde_David,3331,22,172074.1652,608370.126,33.82308975,32.17027664,32.38028278,43.74996185,38.50592022,2.014658318,2.307308563,11.57968521,33.00964355,2.422363972,9.163888733,1.555012703,1.387400296,33.69032543,33.95585406,4332.578354,4245.621195,0.170230865,0.041978244,0.292650246,0.390289307,0.269502549,0.149999613,30.6,32.53924322,33.79205126,32.930906,32.57149024,32.46001124,33.19997597,32.81999969,32.55993271,32.45497704,0.200806103,0.036320125
3650,,,A,65,Sde_David,3332,23,172073.7424,608378.1452,33.85360062,31.64022255,32.16216812,43.70855331,38.31150665,2.05137043,2.307308563,12.06833076,33.12989044,2.132624267,7.95863825,1.939796448,1.454215032,33.80362168,33.90357956,4228.149058,4240.114612,0.049983978,0.011467367,0.255938133,0.270042419,0.238991672,0.113287501,30.7,32.34833718,33.68320064,34.2131369,34.33236255,33.20003421,33.03003693,33.51997948,33.89981079,32.82495117,0.147117268,0.09000896
3651,,,A,65,Sde_David,3333,24,172073.1311,608387.2468,33.75569839,31.54009247,32.05013962,43.72088623,39.06734467,2.159580037,2.307308563,12.18079376,33.01491165,2.462498475,9.195077837,1.329738617,1.411637034,33.65314825,33.85824854,4109.623095,4232.154162,0.164962769,0.109369596,0.147728527,0.38502121,0.336893901,0.005077894,30.8,32.35798435,34.35601797,33.2355095,32.57583738,32.48383327,33.40999222,32.98023415,32.57999039,32.53013229,0.145860492,0.091265736
3652,,,A,65,Sde_David,3334,25,172076.9346,608396.8753,34.55188987,32.40040588,32.84986343,43.7791481,39.46646461,1.988230048,2.307308563,11.37874222,33.88996506,2.30579975,8.552449055,1.489810944,1.346160922,34.45054716,34.65323258,3984.236327,4281.685348,-0.710090637,-0.686821879,0.319078515,-0.490032196,-0.459297574,0.176427883,30.7,33.17034677,34.83800756,33.93873796,33.98791985,33.49237714,33.90005684,33.80976295,33.89995193,33.3597908,0.356290391,-0.119164163
3653,,,A,65,Sde_David,3335,26,172076.7413,608400.7419,33.4431171,31.39014244,31.71015644,43.74055481,39.59932709,2.40038179,2.307308563,12.35041237,32.57992744,2.407254743,8.453700782,1.235271454,1.59957837,33.33940004,33.54683415,3933.883981,4279.167476,0.599946976,0.421950893,-0.093073227,0.820005417,0.649475198,-0.235723859,30.7,31.95870864,34.01271866,32.7861165,32.02956566,32.14281616,32.94982529,32.4498558,31.95995712,32.18004227,0.047970226,0.189156002
3654,,,A,65,Sde_David,3337,28,172076.1814,608410.3314,33.22827327,31.04018784,31.43013382,43.70812607,39.25890732,2.448095233,2.307308563,12.66793823,32.31993675,2.336421309,8.237953295,1.619852066,1.639392116,33.10708469,33.34946186,3809.005096,4271.876433,0.859937668,0.636794718,-0.14078667,1.079996109,0.864319022,-0.283437302,30.4,31.64023378,34.03983991,32.1632967,31.86321795,32.05487658,33.06580734,31.9899559,31.7849741,31.93004417,-0.035803914,0.272930143
3655,,,A,65,Sde_David,3339,30,172075.6731,608419.4176,33.80307308,31.32009125,31.77984009,43.72259903,39.29137192,2.302933504,2.307308563,12.40250778,33.08502579,1.975171769,6.930726898,2.11019516,1.635289987,33.70437871,33.90176745,3690.680516,4265.257402,0.094848633,0.061994911,0.00437506,0.314907074,0.289519215,-0.138275573,30.1,32.05098322,34.75690547,33.04391036,32.32935441,31.87851694,33.83979034,32.82987595,32.24998474,31.909935,0.084325724,0.152800504
3656,,,A,65,Sde_David,3340,31,172075.2626,608426.2937,33.9655007,31.72076607,32.15000916,43.73817825,39.46114502,2.298371119,2.307308563,12.01741219,33.05000305,2.097695996,7.069182127,1.660284996,1.616866953,33.89352021,34.03748119,3601.137025,4259.911967,0.129871368,-0.10043271,0.008937445,0.34992981,0.127091595,-0.133713188,30.1,32.40984132,34.50958595,34.18189836,33.12787259,32.59683566,33.53984833,32.97992325,32.76006699,32.54505157,0.192097229,0.045028999
3657,,,A,65,Sde_David,3341,32,172074.6621,608433.9572,33.94552458,31.67014313,32.13023376,43.63842773,39.53368797,2.262495233,2.307308563,11.96828461,33.12014198,2.171584202,7.519750707,1.584581375,1.565697873,33.85742607,34.03362308,3501.338722,4252.091088,0.059732437,-0.080456586,0.04481333,0.279790878,0.147067719,-0.097837302,30.7,32.40825231,34.27367962,34.24359233,32.65864816,32.20584762,33.37496185,33.34484291,32.55996704,32.11001778,0.162363604,0.074762624
3658,,,A,65,Sde_David,3342,33,172074.3568,608440.483,34.21537078,31.77029991,32.28010178,43.75965881,39.57472324,2.250703136,2.307308563,11.9893589,33.40004349,1.897463723,6.424813651,2.027495384,1.628882948,34.1350002,34.29574136,3416.356551,4248.115755,-0.220169067,-0.350302791,0.056605428,-0.000110626,-0.122778487,-0.086045205,30.7,32.53419272,33.85348626,34.65996361,33.4474279,33.29198439,33.12031555,33.86075592,33.14007378,33.18987465,0.194411101,0.042715127
3659,,,A,65,Sde_David,3343,34,172073.9976,608445.9799,34.27401123,31.760252,32.14990845,43.73652267,38.89722977,1.980885571,2.307308563,11.97627068,33.81503296,2.062843721,8.05144881,1.609954834,1.332803487,34.18474334,34.36327912,3344.773495,4243.438226,-0.635158539,-0.408943241,0.326422993,-0.415100098,-0.181418936,0.18377236,30.7,32.70266046,34.77375458,33.57884815,33.29882648,33.24620255,34.30995178,33.52025604,33.14497948,33.25984955,0.237280337,-0.000154109
3660,,,A,65,Sde_David,3344,35,172073.6792,608451.8804,34.95273835,32.60006714,32.82990875,43.71952438,40.55393753,2.309379861,2.307308563,11.11945724,34.28993034,1.820524457,5.963881093,1.975038528,1.642099395,34.82280833,35.08266838,3267.935033,4239.291118,-1.110055923,-1.087670364,-0.002071298,-0.889997482,-0.860146059,-0.14472193,30.7,33.16744249,35.6457486,33.86451105,33.41848919,33.21516848,34.92507553,33.86997795,33.39987946,33.18001556,0.355551354,-0.118425126
3661,,,A,65,Sde_David,3345,36,172073.372,608455.48,34.28497752,32.01062012,32.70077896,43.74192047,39.42856197,2.02147807,2.307308563,11.73130035,33.6100235,2.530979452,9.550481706,1.262292862,1.309859336,34.20047958,34.36947546,3221.059518,4235.290777,-0.430149078,-0.419909529,0.285830494,-0.210090637,-0.192385224,0.143179861,30.7,32.97704903,34.40076106,34.02360755,33.66314568,33.62432474,33.6503067,33.47024918,33.56991959,33.52988052,0.307102776,-0.069976548
3662,,,A,65,Sde_David,3346,37,172072.9859,608460.991,34.34967382,32.10018921,32.48021603,43.68082047,39.04157639,2.019565428,2.307308563,11.58063126,33.71011734,2.120221792,7.819339081,1.690034866,1.40172399,34.2758205,34.42352715,3149.292174,4230.262609,-0.53024292,-0.484605834,0.287743135,-0.310184479,-0.257081529,0.145092503,30.7,32.852551,34.58244918,34.58881013,33.40536008,32.75916485,33.97006607,33.80978012,33.13488388,32.6099205,0.275422316,-0.038296088
3663,,,A,65,Sde_David,3347,38,172077.0788,608469.1697,34.71391416,32.4002037,32.8800518,43.7015686,39.49183388,2.099130471,2.307308563,11.3013649,34.06049538,1.945005693,6.720589236,1.730014801,1.487553843,34.60338625,34.82444206,3042.786023,4283.56268,-0.880620956,-0.848846169,0.208178092,-0.660562515,-0.621321864,0.06552746,30.7,33.13203822,34.89099068,34.35982072,33.97131069,34.34682389,33.82979584,33.86991882,34.11001778,34.41995239,0.346542185,-0.109415957
